#{"t_start": 1537442773.723104, "env_id": "Planar-direction-v1"}
r,l,t
103.353906,1024,24313.884173
104.280456,1024,24342.569992
51.599117,693,24363.360778
97.94942,1024,24392.244049
104.218117,1024,24421.937832
100.132808,1024,24450.662889
95.812333,1024,24480.166714
103.697732,1024,24509.001572
102.309772,1024,24538.518784
105.10063,1024,24567.021036
104.360277,1024,24596.750353
102.733007,1024,24625.788163
104.762566,1024,24655.357745
103.768018,1024,24684.377761
103.422098,1024,24713.86264
100.450352,1024,24742.375811
103.524168,1024,24772.01249
104.780381,1024,24801.007287
102.925384,1024,24830.694313
102.809957,1024,24859.609944
104.551972,1024,24889.284318
103.961058,1024,24918.140138
103.496896,1024,24947.874162
101.804151,1024,24976.643193
103.903707,1024,25006.199865
102.648255,1024,25034.666095
104.354402,1024,25064.333515
13.982647,324,25074.260728
101.886543,1024,25103.124468
103.221921,1024,25132.616016
102.308575,1024,25161.053366
103.392115,1024,25190.498057
96.240345,1024,25219.185375
102.651878,1024,25249.031282
103.410458,1024,25277.473299
104.538661,1024,25307.604975
101.856348,1024,25336.246433
101.379709,1024,25365.79179
102.335515,1024,25394.31113
100.215663,1024,25423.923639
103.71025,1024,25452.495156
103.293831,1024,25482.144233
101.309532,1024,25510.967314
104.646929,1024,25540.569968
104.915918,1024,25569.568215
103.752037,1024,25598.939488
102.083199,1024,25628.013356
99.436961,1024,25657.338303
104.050621,1024,25686.055327
65.611312,875,25711.64741
103.174468,1024,25740.512835
102.639003,1024,25770.061228
102.609785,1024,25798.626444
70.631951,905,25825.885796
97.688274,1024,25855.062339
104.897419,1024,25884.439285
105.841204,1024,25913.415456
104.722483,1024,25942.889035
103.095153,1024,25971.705542
105.746462,1024,26001.379424
104.03751,1024,26029.943883
103.999877,1024,26059.613017
95.821457,1024,26088.537177
104.256185,1024,26118.203551
104.322799,1024,26147.143496
103.86318,1024,26176.70752
102.684424,1024,26205.390155
104.282019,1024,26234.811338
105.033039,1024,26263.583661
104.246301,1024,26293.057754
104.730627,1024,26321.78296
103.584716,1024,26351.634786
106.377706,1024,26380.371222
103.559602,1024,26409.848504
105.000969,1024,26438.331261
104.346814,1024,26467.692124
103.855635,1024,26496.597116
105.279843,1024,26526.281314
20.713222,546,26542.380619
103.936765,1024,26571.305879
103.437748,1024,26601.413491
35.069082,530,26616.944132
104.925198,1024,26646.679499
105.07832,1024,26675.348851
106.622287,1024,26705.38383
75.277776,880,26730.163085
106.361648,1024,26759.929332
104.221216,1024,26788.349887
100.389833,1024,26818.268083
104.732747,1024,26846.777907
101.176352,1024,26876.233086
103.694667,1024,26905.489378
106.61842,1024,26935.131987
91.634887,1024,26963.567337
105.231508,1024,26993.299825
106.872681,1024,27022.302887
107.4407,1024,27051.701423
24.445841,494,27066.269528
106.148285,1024,27095.499465
106.90645,1024,27125.472923
104.31243,1024,27154.213631
103.240235,1024,27183.861554
103.732243,1024,27212.639742
105.206128,1024,27242.537617
107.341119,1024,27271.216037
99.925015,1024,27300.879961
108.370237,1024,27329.443659
107.545239,1024,27359.07937
106.376263,1024,27387.786979
105.659608,1024,27417.348443
97.316974,1024,27445.957337
106.595715,1024,27475.581343
100.772801,1024,27504.063537
107.548092,1024,27533.471373
104.402015,1024,27562.053013
108.186298,1024,27591.65531
